Areaname,1790,1800,1810,1820,1830,1840
United States,,,,,,
Alabama,,1250,9046,127901,309527,590756
Alaska,,,,,,
Arizona,,,,,,
Arkansas,,,1062,14273,30388,97574
California,,,,,,
Colorado,,,,,,
Connecticut,237946,251002,261942,275248,297675,309978
Delaware,59096,64273,72674,72749,76748,78085
District of Columbia,,8144,15471,23336,30261,33745
Florida,,,,,34730,54477
Georgia,82548,162686,251407,340989,516823,691392
Hawaii,,,,,,
Idaho,,,,,,
Illinois,,2458,12282,55211,157445,476183
Indiana,,2632,24520,147178,343031,685866
Iowa,,,,,,43112
Kansas,,,,,,
Kentucky,73677,220955,406511,564317,687917,779828
Louisiana,,,76556,153407,215739,352411
Maine,96540,151719,228705,298335,399455,501793
Maryland,319728,341548,380546,407350,447040,470019
Massachusetts,378787,422845,472040,523287,610408,737699
Michigan,,3757,4762,7452,28004,212267
Minnesota,,,,,,
Mississippi,,7600,31306,75448,136621,375651
Missouri,,,19783,66586,140455,383702
Montana,,,,,,
Nebraska,,,,,,
Nevada,,,,,,
New Hampshire,141885,183858,214460,244161,269328,284574
New Jersey,184139,211149,245562,277575,320823,373306
New Mexico,,,,,,
New York,340120,589051,959049,1372812,1918608,2428921
North Carolina,393751,478103,556526,638829,737987,753419
North Dakota,,,,,,
Ohio,,42159,230760,581434,937903,1519467
Oklahoma,,,,,,
Oregon,,,,,,
Pennsylvania,434373,602365,810091,1049458,1348233,1724033
Rhode Island,68825,69122,76931,83059,97199,108830
South Carolina,249073,345591,415115,502741,581185,594398
South Dakota,,,,,,
Tennessee,35691,105602,261727,422823,681904,829210
Texas,,,,,,
Utah,,,,,,
Vermont,85425,154465,217895,235981,280652,291948
Virginia,691737,807557,877683,938261,1044054,1025227
Washington,,,,,,
West Virginia,55873,78592,105469,136808,176924,224537
Wisconsin,,,,1444,3635,30945
Wyoming,,,,,,
